"Categoría de producto","Nombre","Precio de venta","Referencia interna"
"Mecanismos / Simon / Simon 82","Placa para toma comunicación y datos Simon Serie 82 RJ45 2 conectores blanco nieve","13.02","S82RJ45 82006-30"
"Mecanismos / Simon / Simon 75","Pulsador doble tecla basculante Simon Serie 75/82 sin impresión","20.68","S75DOBLEPUL 75396-39"
"Mecanismos / Legrand / Plexo","Pulsador botón pulsador Legrand Plexo sin impresión gris estanco (IP55)","13.84","PLEXOPUL 069540"
"Mecanismos / Legrand / Plexo","Pulsador botón pulsador Legrand Plexo sin impresión con iluminación gris estanco (IP55)","21.65","PLEXOPULLUM 069542"
"Canalización / Binke / Accesorios","Racor RGp giratorio, de poliamida para montaje de tubos flexibles, M20(DN11). En color Gris RAL 7001.","2.67","RACORBIN20 35011200"
"Partidas","Punto de luz con cruzamiento con mecanismo de gama media completo. Se incluye tubo, cable y mecanismo de color blanco completamente instalado","133.96","PLCRUCE        "
"Partidas","Rac completo 19 ""","203.45","RAC            "
"Mecanismos / BJC / Iris","Pulsador estanco BJC Iris con marco ","21.35","IRISPULEST     "
"Mecanismos / BJC / Rehabitat","Pulsador tecla basculante BJC Coral sin impresión","5.38","REHABPULS 16516"
"Mecanismos / Simon / Simon 31","Pulsador de persiana Simon Serie 31 2 teclas blanco","31.92","S31DOBLEPUL 31396-30"
"Partidas","Punto de datos completo que consta de 2 tomas RJ45 cat6 con cable Utp completamente instalado.","115.1","PDT"
"Iluminación / Bombillas / Portalámparas","Portalámparas E40 Famatel blanco","20.5","PORTAGOLIATH 801"
"Cableado / Accesorios","Prensaestopas IRIS de poliamida 6 autoextinguible, M20, cable 10/14 mm en color Gris RAL 7035","1.7","RACORCABLE20 21041201"
"Mecanismos / Simon / Simon 31","Pulsador tecla basculante Simon Serie 31 sin impresión blanco","18.43","S31PUL 31659-60"
"Mecanismos / Legrand / Plexo","Pulsador doble tecla basculante Legrand Plexo sin impresión gris estanco (IP55)","26.57","PLEXODOBLEPUL 069545"
"Mecanismos / Simon / Simon 75","Regulador Simon Serie 75 botón giratorio 6-120W retrofit universal y LED estrecho","93.9","S75REG 7502313-039"
"Mecanismos / Simon / Simon 75","Pulsador tecla basculante Simon Serie 75/82 sin impresión","10.68","S75PUL 75150-39"
"Partidas","Punto de zumbador con mecanismo de gama media completo y zumbador instalado con hilo 1'5mm2","126.36","PLT            "
"Mecanismos / BJC / Iris","Pulsador tecla basculante BJC Iris/Aura sin impresión","6.65","IRISPUL 18516"
"Mecanismos / BJC / Iris","Regulador de luz BJC Iris con tapa","97.28","IRISREG        "
"Telecom / Datos / Rack","Regleta Rack 19"" de 8 tomas de enchufe","60.0","RACKREGLETA"
"Iluminación / Reguladores","Regulador de luz Dinuy opcional memoria 500W","37.6","REG500         "
"Canalización / Binke / Accesorios","Racor RGp giratorio, de poliamida para montaje de tubos flexibles, M16(DN 9). En color Gris RAL 7001.","2.31","RACORBIN16 35011160"
"Mecanismos / Schneider / Mureva","Pulsador tecla basculante Schneider Electric Mureva Styl sin impresión estanco (IP55)","13.16","MUPUL MUR39027"
"Mecanismos / Schneider / Mureva","Pulsador tecla basculante Schneider Electric Mureva Styl sin impresión con iluminación estanco (IP55)","20.64","MUPULLUM MUR39127"
"Partidas","Punto de luz simple con interruptor de gama media completo. Se incluye tubo, cable y mecanismo de color blanco completamente instalado","68.2","PLS            "
"Cuadros / Accesorios","Minutero Dinuy pulsador 0,5-12min 16A 230V","61.8","TEMPDINUY PTEMP004"
"Mecanismos / Simon / Simon 31","Pulsador tecla basculante Simon Serie 31 sin impresión con iluminación blanco","29.51","S31PULLUM 31669-30"
"Telecom / Televisión / Derivadores","Repartidor/distribuidor Televés ICT 5-2400MHz 2 desviaciones ","10.42","REPARTV12 543503"
"Telecom / Televisión / Derivadores","Repartidor/distribuidor Televés ICT 5-2400MHz 4 desviaciones ","15.89","REPARTV14 543702"
"Telecom / Televisión / Derivadores","Repartidor/distribuidor Televés ICT 5-2400MHz 5 desviaciones ","21.28","REPARTV15 543802"
"Iluminación / Reguladores","Regulador de pastilla Orbis Dimled corte de fase TRIAC 150W","57.75","ORBISREGLED OB200009"
"Canalización / Tubo H / Accesorios","Racor roscado libre de halógenos M16 IP67 gris","1.68","RACORH16 243.1600.0"
"Canalización / Tubo H / Accesorios","Racor roscado libre de halógenos M20 IP67 gris","1.86","RACORH20 243.2000.0"
"Canalización / Tubo H / Accesorios","Racor roscado libre de halógenos M25 IP67 gris","2.23","RACORH25 243.2500.0"
"Canalización / Tubo H / Accesorios","Racor roscado libre de halógenos M32 IP67 gris","3.12","RACORH32 243.3200.0"
"Canalización / Binke / Accesorios","Racor RGp giratorio, de poliamida para montaje de tubos flexibles, M40(DN29). En color Gris RAL 7001.","8.76","RACORBIN40 35011400"
"Partidas","Se presupuesta la instalación por suelo con zanjas y regatas. Si no fuerá así en su mayoria","0.0","SUELO          "
"Iluminación / Luminarias / Jardín","Soporte orientable IEP ( pincho )","49.03","PINCHO         "
"Iluminación / Tiras LED / Nexia","Tira de Led 4.8W mt blanco regulable","6.6","TIRALED4'8     "
"Cuadros / Accesorios","Repartidor para armario de distribución Legrand 4 polos 125A 15 conexiones","106.05","REPAR400410 400410"
"Mecanismos / BJC / Iris","Tapa para mecanismos BJC Iris para cazoleta tapa enchufe blanco","4.14","IRISTAPAEN 18724"
"Mecanismos / Schneider / New Unica","Tapa para mecanismos Schneider Electric New Unica para placa ciega blanco polar","2.33","UNICACIEGA NUCIEGA NU986618"
"Iluminación / Tiras LED / Nexia","Tira de Led 9.6W mt Blanco regulable","8.68","TIRALED9'6"
"Mecanismos / Schneider / Elegance","Tapa para mecanismos Schneider Electric Elegance para antena de televisión blanco activo","6.3","ELETAPATV MTN299825"
"Mecanismos / Hager / Berker K1","Tapa para mecanismos Hager Berker K.1/K.5 para cazoleta tapa enchufe blanco polar","6.32","K1TAPAEN 17197009"
